stop_index,stop_name
340,Nadrazi Liben
341,Nadrazi Liben
342,Nadrazi Liben
343,Nadrazi Liben
344,Nadrazi Liben
345,Hloubetin
346,Hloubetin
347,Hloubetin
348,Hloubetin
349,Hloubetin
350,Hloubetin
351,Hloubetin
352,Hloubetin
353,Lnarska
354,Lnarska
355,Hejtmanska
356,Hejtmanska
357,Hellichova
358,Hellichova
359,Hercovka
360,Hercovka
361,Hladkov
362,Hladkov
363,Hladkov
364,Hladkov
365,Hlavni
366,Hlavni
367,Hlavni
368,Hlavni nadrazi
369,Hlavni nadrazi
370,Hlavni nadrazi
371,Hlavni nadrazi
372,Hlavni nadrazi
373,Hlavni nadrazi
374,Hlohova
375,Hlohova
376,Stary Hloubetin
377,Stary Hloubetin
378,Stary Hloubetin
379,Stary Hloubetin
380,Mladejovska
381,Mladejovska
382,Nadrazi Hlubocepy
383,Nadrazi Hlubocepy
384,Hlubocepy
385,Hlubocepy
386,Hlubocepy
387,Hlubocepy
388,Hlubocepy
389,Hlubocepy
390,Holeckova
391,Holeckova
392,Stara Holyne
393,Stara Holyne
394,Weberova
395,Weberova
396,Horcickova
397,Horcickova
398,Horky
399,Horky
400,Horni cesta
401,Bolonska
402,Bolonska
403,Bolonska
404,Bolonska
405,Pruchova
406,Pruchova
407,Borislavka
408,Borislavka
409,Borislavka
410,Borislavka
411,Borislavka
412,Borislavka
413,Borislavka
414,Hostavice
415,Hostavice
416,Benice
417,Benice
418,Hostivarske namesti
419,Hostivarske namesti
420,Hostynska
421,Hostynska
422,Cinska
423,Cinska
424,Hradcanska
425,Hradcanska
426,Hradcanska
427,Hradcanska
428,Hradcanska
429,Hradcanska
430,Hradcanska
431,Hradcanska
432,Hrncirsky hrbitov
433,Hrncirsky hrbitov
434,Toulcuv dvur
435,Toulcuv dvur
436,Dablicky hrbitov
437,Dablicky hrbitov
438,Hrebenka
439,Hrebenka
440,Hribkova
441,Hribkova
442,Hulicka
443,Hulicka
444,Hulicka
445,Letecke muzeum
446,Letecke muzeum
447,Viktoria Zizkov
448,Viktoria Zizkov
449,Viktoria Zizkov
450,Viktoria Zizkov
451,Hute
452,Hute
453,Hutmanka
454,Hutmanka
455,Nadrazi Jinonice
456,Nadrazi Jinonice
457,Hybsmanka
458,Hybsmanka
459,Vyzkumny ustav vodohospodarsky
460,Vyzkumny ustav vodohospodarsky
461,Sidliste Zlicin
462,Sidliste Zlicin
463,Vinorsky hrbitov
464,Vinorsky hrbitov
465,Vinorsky hrbitov
466,Vinorsky hrbitov
